,accuracy,fn_rate,fp_rate,n_correct,rate
0,0.964,0.0,0.0,482.0,0.0
1,0.968,0.0033333333333333335,0.0033333333333333335,484.0,0.0033333333333333335
2,0.972,0.006666666666666667,0.006666666666666667,486.0,0.006666666666666667
3,0.964,0.01,0.01,482.0,0.01
4,0.964,0.013333333333333334,0.013333333333333334,482.0,0.013333333333333334
5,0.974,0.016666666666666666,0.016666666666666666,487.0,0.016666666666666666
6,0.97,0.02,0.02,485.0,0.02
7,0.97,0.023333333333333334,0.023333333333333334,485.0,0.023333333333333334
8,0.98,0.02666666666666667,0.02666666666666667,490.0,0.02666666666666667
9,0.984,0.03,0.03,492.0,0.03
10,0.98,0.03333333333333333,0.03333333333333333,490.0,0.03333333333333333
11,0.976,0.03666666666666667,0.03666666666666667,488.0,0.03666666666666667
12,0.978,0.04,0.04,489.0,0.04
13,0.978,0.043333333333333335,0.043333333333333335,489.0,0.043333333333333335
14,0.982,0.04666666666666667,0.04666666666666667,491.0,0.04666666666666667
15,0.984,0.05,0.05,492.0,0.05
16,0.972,0.05333333333333334,0.05333333333333334,486.0,0.05333333333333334
17,0.974,0.056666666666666664,0.056666666666666664,487.0,0.056666666666666664
18,0.978,0.06,0.06,489.0,0.06
19,0.986,0.06333333333333334,0.06333333333333334,493.0,0.06333333333333334
20,0.98,0.06666666666666667,0.06666666666666667,490.0,0.06666666666666667
21,0.988,0.07,0.07,494.0,0.07
22,0.986,0.07333333333333333,0.07333333333333333,493.0,0.07333333333333333
23,0.98,0.07666666666666666,0.07666666666666666,490.0,0.07666666666666666
24,0.982,0.08,0.08,491.0,0.08
25,0.976,0.08333333333333333,0.08333333333333333,488.0,0.08333333333333333
26,0.984,0.08666666666666667,0.08666666666666667,492.0,0.08666666666666667
27,0.982,0.09,0.09,491.0,0.09
28,0.978,0.09333333333333334,0.09333333333333334,489.0,0.09333333333333334
29,0.978,0.09666666666666666,0.09666666666666666,489.0,0.09666666666666666
30,0.972,0.1,0.1,486.0,0.1
31,0.97,0.10333333333333333,0.10333333333333333,485.0,0.10333333333333333
32,0.98,0.10666666666666667,0.10666666666666667,490.0,0.10666666666666667
33,0.97,0.11,0.11,485.0,0.11
34,0.968,0.11333333333333333,0.11333333333333333,484.0,0.11333333333333333
35,0.966,0.11666666666666667,0.11666666666666667,483.0,0.11666666666666667
36,0.966,0.12,0.12,483.0,0.12
37,0.968,0.12333333333333334,0.12333333333333334,484.0,0.12333333333333334
38,0.958,0.12666666666666668,0.12666666666666668,479.0,0.12666666666666668
39,0.96,0.13,0.13,480.0,0.13
40,0.956,0.13333333333333333,0.13333333333333333,478.0,0.13333333333333333
41,0.948,0.13666666666666666,0.13666666666666666,474.0,0.13666666666666666
42,0.944,0.14,0.14,472.0,0.14
43,0.948,0.14333333333333334,0.14333333333333334,474.0,0.14333333333333334
44,0.95,0.14666666666666667,0.14666666666666667,475.0,0.14666666666666667
45,0.934,0.15,0.15,467.0,0.15
46,0.934,0.15333333333333332,0.15333333333333332,467.0,0.15333333333333332
47,0.924,0.15666666666666668,0.15666666666666668,462.0,0.15666666666666668
48,0.928,0.16,0.16,464.0,0.16
49,0.91,0.16333333333333333,0.16333333333333333,455.0,0.16333333333333333
50,0.892,0.16666666666666666,0.16666666666666666,446.0,0.16666666666666666
51,0.918,0.17,0.17,459.0,0.17
52,0.894,0.17333333333333334,0.17333333333333334,447.0,0.17333333333333334
53,0.894,0.17666666666666667,0.17666666666666667,447.0,0.17666666666666667
54,0.89,0.18,0.18,445.0,0.18
55,0.878,0.18333333333333332,0.18333333333333332,439.0,0.18333333333333332
56,0.856,0.18666666666666668,0.18666666666666668,428.0,0.18666666666666668
57,0.858,0.19,0.19,429.0,0.19
58,0.856,0.19333333333333333,0.19333333333333333,428.0,0.19333333333333333
59,0.82,0.19666666666666666,0.19666666666666666,410.0,0.19666666666666666
60,0.846,0.2,0.2,423.0,0.2
61,0.822,0.20333333333333334,0.20333333333333334,411.0,0.20333333333333334
62,0.818,0.20666666666666667,0.20666666666666667,409.0,0.20666666666666667
63,0.806,0.21,0.21,403.0,0.21
64,0.792,0.21333333333333335,0.21333333333333335,396.0,0.21333333333333335
65,0.79,0.21666666666666667,0.21666666666666667,395.0,0.21666666666666667
66,0.772,0.22,0.22,386.0,0.22
67,0.75,0.22333333333333333,0.22333333333333333,375.0,0.22333333333333333
68,0.75,0.22666666666666666,0.22666666666666666,375.0,0.22666666666666666
69,0.744,0.23,0.23,372.0,0.23
70,0.73,0.23333333333333334,0.23333333333333334,365.0,0.23333333333333334
71,0.728,0.23666666666666666,0.23666666666666666,364.0,0.23666666666666666
72,0.706,0.24,0.24,353.0,0.24
73,0.712,0.24333333333333335,0.24333333333333335,356.0,0.24333333333333335
74,0.714,0.24666666666666667,0.24666666666666667,357.0,0.24666666666666667
75,0.688,0.25,0.25,344.0,0.25
76,0.68,0.25333333333333335,0.25333333333333335,340.0,0.25333333333333335
77,0.676,0.25666666666666665,0.25666666666666665,338.0,0.25666666666666665
78,0.658,0.26,0.26,329.0,0.26
79,0.654,0.2633333333333333,0.2633333333333333,327.0,0.2633333333333333
80,0.634,0.26666666666666666,0.26666666666666666,317.0,0.26666666666666666
81,0.624,0.27,0.27,312.0,0.27
82,0.62,0.2733333333333333,0.2733333333333333,310.0,0.2733333333333333
83,0.616,0.27666666666666667,0.27666666666666667,308.0,0.27666666666666667
84,0.598,0.28,0.28,299.0,0.28
85,0.608,0.2833333333333333,0.2833333333333333,304.0,0.2833333333333333
86,0.58,0.2866666666666667,0.2866666666666667,290.0,0.2866666666666667
87,0.584,0.29,0.29,292.0,0.29
88,0.562,0.29333333333333333,0.29333333333333333,281.0,0.29333333333333333
89,0.578,0.2966666666666667,0.2966666666666667,289.0,0.2966666666666667
90,0.558,0.3,0.3,279.0,0.3
91,0.566,0.30333333333333334,0.30333333333333334,283.0,0.30333333333333334
92,0.536,0.30666666666666664,0.30666666666666664,268.0,0.30666666666666664
93,0.546,0.31,0.31,273.0,0.31
94,0.526,0.31333333333333335,0.31333333333333335,263.0,0.31333333333333335
95,0.524,0.31666666666666665,0.31666666666666665,262.0,0.31666666666666665
96,0.522,0.32,0.32,261.0,0.32
97,0.522,0.3233333333333333,0.3233333333333333,261.0,0.3233333333333333
98,0.518,0.32666666666666666,0.32666666666666666,259.0,0.32666666666666666
99,0.52,0.33,0.33,260.0,0.33
100,0.51,0.3333333333333333,0.3333333333333333,255.0,0.3333333333333333
