,n_correct,accuracy,fp_rate,fn_rate
0,482,0.964,0.0,0.0
1,479,0.958,0.0016666666666666668,0.0033333333333333335
2,481,0.962,0.0033333333333333335,0.006666666666666667
3,481,0.962,0.005,0.01
4,481,0.962,0.006666666666666667,0.013333333333333334
5,482,0.964,0.008333333333333333,0.016666666666666666
6,481,0.962,0.01,0.02
7,479,0.958,0.011666666666666667,0.023333333333333334
8,481,0.962,0.013333333333333334,0.02666666666666667
9,482,0.964,0.015,0.03
10,484,0.968,0.016666666666666666,0.03333333333333333
11,485,0.97,0.018333333333333333,0.03666666666666667
12,478,0.956,0.02,0.04
13,479,0.958,0.021666666666666667,0.043333333333333335
14,486,0.972,0.023333333333333334,0.04666666666666667
15,487,0.974,0.025,0.05
16,483,0.966,0.02666666666666667,0.05333333333333334
17,484,0.968,0.028333333333333332,0.056666666666666664
18,484,0.968,0.03,0.06
19,481,0.962,0.03166666666666667,0.06333333333333334
20,483,0.966,0.03333333333333333,0.06666666666666667
21,483,0.966,0.035,0.07
22,484,0.968,0.03666666666666667,0.07333333333333333
23,483,0.966,0.03833333333333333,0.07666666666666666
24,488,0.976,0.04,0.08
25,484,0.968,0.041666666666666664,0.08333333333333333
26,486,0.972,0.043333333333333335,0.08666666666666667
27,481,0.962,0.045,0.09
28,490,0.98,0.04666666666666667,0.09333333333333334
29,484,0.968,0.04833333333333333,0.09666666666666666
30,485,0.97,0.05,0.1
31,482,0.964,0.051666666666666666,0.10333333333333333
32,492,0.984,0.05333333333333334,0.10666666666666667
33,480,0.96,0.055,0.11
34,484,0.968,0.056666666666666664,0.11333333333333333
35,487,0.974,0.058333333333333334,0.11666666666666667
36,483,0.966,0.06,0.12
37,482,0.964,0.06166666666666667,0.12333333333333334
38,479,0.958,0.06333333333333334,0.12666666666666668
39,484,0.968,0.065,0.13
40,486,0.972,0.06666666666666667,0.13333333333333333
41,480,0.96,0.06833333333333333,0.13666666666666666
42,486,0.972,0.07,0.14
43,479,0.958,0.07166666666666667,0.14333333333333334
44,485,0.97,0.07333333333333333,0.14666666666666667
45,478,0.956,0.075,0.15
46,483,0.966,0.07666666666666666,0.15333333333333332
47,482,0.964,0.07833333333333334,0.15666666666666668
48,479,0.958,0.08,0.16
49,480,0.96,0.08166666666666667,0.16333333333333333
50,474,0.948,0.08333333333333333,0.16666666666666666
51,486,0.972,0.085,0.17
52,481,0.962,0.08666666666666667,0.17333333333333334
53,478,0.956,0.08833333333333333,0.17666666666666667
54,483,0.966,0.09,0.18
55,472,0.944,0.09166666666666666,0.18333333333333332
56,480,0.96,0.09333333333333334,0.18666666666666668
57,475,0.95,0.095,0.19
58,480,0.96,0.09666666666666666,0.19333333333333333
59,475,0.95,0.09833333333333333,0.19666666666666666
60,471,0.942,0.1,0.2
61,473,0.946,0.10166666666666667,0.20333333333333334
62,472,0.944,0.10333333333333333,0.20666666666666667
63,481,0.962,0.105,0.21
64,476,0.952,0.10666666666666667,0.21333333333333335
65,470,0.94,0.10833333333333334,0.21666666666666667
66,470,0.94,0.11,0.22
67,468,0.936,0.11166666666666666,0.22333333333333333
68,468,0.936,0.11333333333333333,0.22666666666666666
69,466,0.932,0.115,0.23
70,466,0.932,0.11666666666666667,0.23333333333333334
71,466,0.932,0.11833333333333333,0.23666666666666666
72,465,0.93,0.12,0.24
73,470,0.94,0.12166666666666667,0.24333333333333335
74,460,0.92,0.12333333333333334,0.24666666666666667
75,469,0.938,0.125,0.25
76,460,0.92,0.12666666666666668,0.25333333333333335
77,458,0.916,0.12833333333333333,0.25666666666666665
78,466,0.932,0.13,0.26
79,456,0.912,0.13166666666666665,0.2633333333333333
80,449,0.898,0.13333333333333333,0.26666666666666666
81,451,0.902,0.135,0.27
82,451,0.902,0.13666666666666666,0.2733333333333333
83,452,0.904,0.13833333333333334,0.27666666666666667
84,443,0.886,0.14,0.28
85,444,0.888,0.14166666666666666,0.2833333333333333
86,441,0.882,0.14333333333333334,0.2866666666666667
87,442,0.884,0.145,0.29
88,444,0.888,0.14666666666666667,0.29333333333333333
89,441,0.882,0.14833333333333334,0.2966666666666667
90,432,0.864,0.15,0.3
91,434,0.868,0.15166666666666667,0.30333333333333334
92,425,0.85,0.15333333333333332,0.30666666666666664
93,428,0.856,0.155,0.31
94,417,0.834,0.15666666666666668,0.31333333333333335
95,424,0.848,0.15833333333333333,0.31666666666666665
96,420,0.84,0.16,0.32
97,419,0.838,0.16166666666666665,0.3233333333333333
98,408,0.816,0.16333333333333333,0.32666666666666666
99,412,0.824,0.165,0.33
100,402,0.804,0.16666666666666666,0.3333333333333333
