100x100
     DL_time  n  fp_rate  fn_rate
0   0.053798  2     0.01      0.2
1   0.017245  2     0.01      0.2
2   0.017259  2     0.01      0.2
3   0.017273  2     0.01      0.2
4   0.017271  2     0.01      0.2
5   0.017312  2     0.01      0.2
6   0.017434  2     0.01      0.2
7   0.018178  2     0.01      0.2
8   0.017397  2     0.01      0.2
9   0.017598  2     0.01      0.2
10  0.017393  2     0.01      0.2
11  0.017392  2     0.01      0.2
12  0.017333  2     0.01      0.2
13  0.017501  2     0.01      0.2
14  0.017231  2     0.01      0.2
15  0.017460  2     0.01      0.2
16  0.017397  2     0.01      0.2
17  0.017386  2     0.01      0.2
18  0.017590  2     0.01      0.2
19  0.017250  2     0.01      0.2
20  0.017387  2     0.01      0.2
21  0.017349  2     0.01      0.2
22  0.017369  2     0.01      0.2
23  0.017300  2     0.01      0.2
24  0.017259  2     0.01      0.2
25  0.017279  2     0.01      0.2
26  0.017347  2     0.01      0.2
27  0.017355  2     0.01      0.2
28  0.017388  2     0.01      0.2
29  0.017455  2     0.01      0.2
30  0.017219  2     0.01      0.2
31  0.017434  2     0.01      0.2
32  0.017499  2     0.01      0.2
33  0.017327  2     0.01      0.2
34  0.017301  2     0.01      0.2
35  0.017274  2     0.01      0.2
36  0.017192  2     0.01      0.2
37  0.017265  2     0.01      0.2
38  0.017307  2     0.01      0.2
39  0.017915  2     0.01      0.2
40  0.017399  2     0.01      0.2
41  0.017368  2     0.01      0.2
42  0.017294  2     0.01      0.2
43  0.017241  2     0.01      0.2
44  0.017294  2     0.01      0.2
45  0.017372  2     0.01      0.2
46  0.017322  2     0.01      0.2
47  0.017231  2     0.01      0.2
48  0.017347  2     0.01      0.2
49  0.017294  2     0.01      0.2
DescribeResult(nobs=50, minmax=(0.01719188690185547, 0.05379843711853027), mean=0.018101558685302735, variance=2.6564035602785563e-05, skewness=6.846010308572553, kurtosis=44.91981845871284)
